epoch,train_loss,validation_loss
1,3.701728935499449,
2,3.0844960148270064,
3,2.531242581960317,2.4645798206329346
4,2.406045626305245,
5,2.2932950316248712,
6,2.2244458920246846,2.2048940658569336
7,2.169401317029386,
8,2.1193495582889867,
9,2.0691039613775306,2.067484140396118
10,2.0227233190794247,
11,1.975149087648134,
12,1.927362701055166,1.9362332820892334
13,1.8804667073327141,
14,1.8369336431090897,
15,1.7966224773510082,1.8321621417999268
16,1.7640945769645073,
17,1.7298575008237684,
18,1.7008023055824073,1.7590152025222778
19,1.674772261284493,
20,1.6510870379370612,
21,1.6302131002013747,1.7017019987106323
22,1.6099601391199472,
23,1.5889879555315585,
24,1.5699858040423007,1.652268648147583
25,1.550539923358608,
26,1.5339356216224465,
27,1.5170431066203762,1.6194376945495605
28,1.4992891285870527,
29,1.4833437423448306,
30,1.4702773210164664,1.5855698585510254
